Points_0,Points_1,Points_2,U_0,U_1,U_2,U_Magnitude
-0.03175,0.05,0,0,0,0,0
-0.0316865,0.05,0,0.000121808,0.0612088,-3.14448e-09,0.0612089
-0.031623,0.05,0,0.000243609,0.122414,-6.28878e-09,0.122414
-0.0315595,0.05,0,0.000365417,0.183623,-9.43326e-09,0.183623
-0.031496,0.05,0,0.000487225,0.244831,-1.25777e-08,0.244832
-0.0314325,0.05,0,0.000609026,0.306037,-1.5722e-08,0.306037
-0.031369,0.05,0,0.000730834,0.367245,-1.88665e-08,0.367246
-0.0313055,0.05,0,0.000852642,0.428454,-2.2011e-08,0.428455
-0.031242,0.05,0,0.000974443,0.489659,-2.51553e-08,0.48966
-0.0311785,0.05,0,0.00109625,0.550868,-2.82998e-08,0.550869
-0.031115,0.05,0,0.00121806,0.612075,-3.14442e-08,0.612076
-0.0310515,0.05,0,0.00133986,0.673282,-3.45885e-08,0.673283
-0.030988,0.05,0,0.00146167,0.734491,-3.7733e-08,0.734492
-0.0309245,0.05,0,0.00158347,0.795698,-4.08774e-08,0.795699
-0.030861,0.05,0,0.00170528,0.856905,-4.40218e-08,0.856906
-0.0307975,0.05,0,0.00182708,0.918114,-4.71663e-08,0.918115
-0.030734,0.05,0,0.00190583,0.957569,-4.91084e-08,0.95757
-0.0306705,0.05,0,0.00191274,0.960738,-4.9045e-08,0.96074
-0.030607,0.05,0,0.00191965,0.963907,-4.89816e-08,0.963909
-0.0305435,0.05,0,0.00192656,0.967076,-4.89181e-08,0.967078
-0.03048,0.05,0,0.00193347,0.970245,-4.88547e-08,0.970247
-0.0304165,0.05,0,0.00194038,0.973414,-4.87913e-08,0.973416
-0.030353,0.05,0,0.00194729,0.976584,-4.87278e-08,0.976586
-0.0302895,0.05,0,0.00195419,0.979753,-4.86644e-08,0.979755
-0.030226,0.05,0,0.0019611,0.982922,-4.8601e-08,0.982924
-0.0301625,0.05,0,0.00196801,0.986091,-4.85375e-08,0.986093
-0.030099,0.05,0,0.00197492,0.98926,-4.84741e-08,0.989262
-0.0300355,0.05,0,0.00198183,0.99243,-4.84107e-08,0.992432
-0.029972,0.05,0,0.00198874,0.995599,-4.83473e-08,0.995601
-0.0299085,0.05,0,0.00199565,0.998768,-4.82838e-08,0.99877
-0.029845,0.05,0,0.00200256,1.00194,-4.82204e-08,1.00194
-0.0297815,0.05,0,0.00200947,1.00511,-4.8157e-08,1.00511
-0.029718,0.05,0,0.00200704,1.00599,-4.81036e-08,1.00599
-0.0296545,0.05,0,0.00200148,1.0061,-4.80537e-08,1.0061
-0.029591,0.05,0,0.00199593,1.00621,-4.80037e-08,1.00622
-0.0295275,0.05,0,0.00199037,1.00633,-4.79537e-08,1.00633
-0.029464,0.05,0,0.00198481,1.00644,-4.79037e-08,1.00645
-0.0294005,0.05,0,0.00197926,1.00656,-4.78538e-08,1.00656
-0.029337,0.05,0,0.0019737,1.00667,-4.78038e-08,1.00667
-0.0292735,0.05,0,0.00196815,1.00679,-4.77538e-08,1.00679
-0.02921,0.05,0,0.00196259,1.0069,-4.77039e-08,1.0069
-0.0291465,0.05,0,0.00195704,1.00702,-4.76539e-08,1.00702
-0.029083,0.05,0,0.00195148,1.00713,-4.76039e-08,1.00713
-0.0290195,0.05,0,0.00194592,1.00724,-4.7554e-08,1.00725
-0.028956,0.05,0,0.00194037,1.00736,-4.7504e-08,1.00736
-0.0288925,0.05,0,0.00193481,1.00747,-4.7454e-08,1.00748
-0.028829,0.05,0,0.00192926,1.00759,-4.74041e-08,1.00759
-0.0287655,0.05,0,0.0019238,1.00768,-4.73432e-08,1.00769
-0.028702,0.05,0,0.00191907,1.00766,-4.72067e-08,1.00767
-0.0286385,0.05,0,0.00191433,1.00764,-4.70701e-08,1.00764
-0.028575,0.05,0,0.0019096,1.00762,-4.69336e-08,1.00762
-0.0285115,0.05,0,0.00190486,1.0076,-4.67971e-08,1.0076
-0.028448,0.05,0,0.00190013,1.00758,-4.66606e-08,1.00758
-0.0283845,0.05,0,0.00189539,1.00756,-4.65241e-08,1.00756
-0.028321,0.05,0,0.00189066,1.00753,-4.63876e-08,1.00754
-0.0282575,0.05,0,0.00188592,1.00751,-4.6251e-08,1.00752
-0.028194,0.05,0,0.00188119,1.00749,-4.61145e-08,1.00749
-0.0281305,0.05,0,0.00187645,1.00747,-4.5978e-08,1.00747
-0.028067,0.05,0,0.00187171,1.00745,-4.58415e-08,1.00745
-0.0280035,0.05,0,0.00186698,1.00743,-4.5705e-08,1.00743
