Points_0,Points_1,Points_2,U_0,U_1,U_2,U_Magnitude
-0.03175,0.05,0,0,0,0,0
-0.0316865,0.05,0,0.000121793,0.0612091,-4.03474e-09,0.0612093
-0.031623,0.05,0,0.000243579,0.122415,-8.06925e-09,0.122415
-0.0315595,0.05,0,0.000365372,0.183624,-1.2104e-08,0.183624
-0.031496,0.05,0,0.000487165,0.244833,-1.61387e-08,0.244833
-0.0314325,0.05,0,0.000608951,0.306038,-2.01732e-08,0.306039
-0.031369,0.05,0,0.000730743,0.367248,-2.4208e-08,0.367248
-0.0313055,0.05,0,0.000852536,0.428457,-2.82427e-08,0.428458
-0.031242,0.05,0,0.000974322,0.489662,-3.22772e-08,0.489663
-0.0311785,0.05,0,0.00109612,0.550871,-3.6312e-08,0.550873
-0.031115,0.05,0,0.0012179,0.612079,-4.03466e-08,0.61208
-0.0310515,0.05,0,0.00133969,0.673286,-4.43812e-08,0.673287
-0.030988,0.05,0,0.00146149,0.734495,-4.8416e-08,0.734497
-0.0309245,0.05,0,0.00158328,0.795703,-5.24506e-08,0.795704
-0.030861,0.05,0,0.00170507,0.85691,-5.64852e-08,0.856912
-0.0307975,0.05,0,0.00182686,0.918119,-6.052e-08,0.918121
-0.030734,0.05,0,0.00190559,0.957574,-6.29476e-08,0.957576
-0.0306705,0.05,0,0.00191251,0.960743,-6.26943e-08,0.960745
-0.030607,0.05,0,0.00191942,0.963912,-6.24411e-08,0.963914
-0.0305435,0.05,0,0.00192633,0.967081,-6.21879e-08,0.967083
-0.03048,0.05,0,0.00193324,0.970249,-6.19346e-08,0.970251
-0.0304165,0.05,0,0.00194015,0.973418,-6.16814e-08,0.97342
-0.030353,0.05,0,0.00194707,0.976587,-6.14282e-08,0.976589
-0.0302895,0.05,0,0.00195398,0.979756,-6.1175e-08,0.979758
-0.030226,0.05,0,0.00196089,0.982925,-6.09217e-08,0.982927
-0.0301625,0.05,0,0.0019678,0.986094,-6.06685e-08,0.986096
-0.030099,0.05,0,0.00197472,0.989262,-6.04153e-08,0.989264
-0.0300355,0.05,0,0.00198163,0.992431,-6.0162e-08,0.992433
-0.029972,0.05,0,0.00198854,0.9956,-5.99088e-08,0.995602
-0.0299085,0.05,0,0.00199545,0.998769,-5.96556e-08,0.998771
-0.029845,0.05,0,0.00200237,1.00194,-5.94023e-08,1.00194
-0.0297815,0.05,0,0.00200928,1.00511,-5.91491e-08,1.00511
-0.029718,0.05,0,0.0020068,1.00599,-5.89922e-08,1.00599
-0.0296545,0.05,0,0.00200118,1.0061,-5.88675e-08,1.0061
-0.029591,0.05,0,0.00199557,1.00621,-5.87428e-08,1.00622
-0.0295275,0.05,0,0.00198995,1.00633,-5.86181e-08,1.00633
-0.029464,0.05,0,0.00198434,1.00644,-5.84933e-08,1.00644
-0.0294005,0.05,0,0.00197872,1.00656,-5.83686e-08,1.00656
-0.029337,0.05,0,0.00197311,1.00667,-5.82439e-08,1.00667
-0.0292735,0.05,0,0.0019675,1.00678,-5.81192e-08,1.00679
-0.02921,0.05,0,0.00196188,1.0069,-5.79945e-08,1.0069
-0.0291465,0.05,0,0.00195627,1.00701,-5.78698e-08,1.00701
