Points_0,Points_1,Points_2,U_0,U_1,U_2,U_Magnitude
-0.03175,0.05,0,0,0,0,0
-0.0316865,0.05,0,1.15654e-05,0.0112505,2.81664e-08,0.0112505
-0.031623,0.05,0,2.31302e-05,0.0225003,5.63311e-08,0.0225003
-0.0315595,0.05,0,3.46956e-05,0.0337508,8.44975e-08,0.0337508
-0.031496,0.05,0,4.62611e-05,0.0450012,1.12664e-07,0.0450013
-0.0314325,0.05,0,5.78258e-05,0.056251,1.40829e-07,0.0562511
-0.031369,0.05,0,6.93913e-05,0.0675015,1.68995e-07,0.0675016
-0.0313055,0.05,0,8.09567e-05,0.078752,1.97161e-07,0.078752
-0.031242,0.05,0,9.25214e-05,0.0900018,2.25326e-07,0.0900018
-0.0311785,0.05,0,0.000104087,0.101252,2.53492e-07,0.101252
-0.031115,0.05,0,0.000115652,0.112502,2.81658e-07,0.112502
-0.0310515,0.05,0,0.000127217,0.123753,3.09824e-07,0.123753
-0.030988,0.05,0,0.000138783,0.135003,3.3799e-07,0.135003
-0.0309245,0.05,0,0.000150348,0.146253,3.66155e-07,0.146253
-0.030861,0.05,0,0.000161913,0.157503,3.94321e-07,0.157503
-0.0307975,0.05,0,0.000173478,0.168754,4.22487e-07,0.168754
-0.030734,0.05,0,0.000195326,0.179743,4.47717e-07,0.179743
-0.0306705,0.05,0,0.000234325,0.190295,4.68048e-07,0.190296
-0.030607,0.05,0,0.000273325,0.200848,4.88379e-07,0.200848
-0.0305435,0.05,0,0.000312326,0.211401,5.0871e-07,0.211402
-0.03048,0.05,0,0.000351326,0.221954,5.29041e-07,0.221955
-0.0304165,0.05,0,0.000390326,0.232507,5.49372e-07,0.232507
-0.030353,0.05,0,0.000429327,0.24306,5.69704e-07,0.243061
-0.0302895,0.05,0,0.000468327,0.253613,5.90034e-07,0.253614
-0.030226,0.05,0,0.000507327,0.264166,6.10365e-07,0.264166
-0.0301625,0.05,0,0.000546328,0.274719,6.30697e-07,0.27472
-0.030099,0.05,0,0.000585328,0.285272,6.51028e-07,0.285273
-0.0300355,0.05,0,0.000624328,0.295825,6.71359e-07,0.295825
-0.029972,0.05,0,0.000663329,0.306378,6.9169e-07,0.306379
-0.0299085,0.05,0,0.000702329,0.316931,7.12021e-07,0.316932
-0.029845,0.05,0,0.000741329,0.327484,7.32352e-07,0.327484
-0.0297815,0.05,0,0.000780329,0.338036,7.52683e-07,0.338037
-0.029718,0.05,0,0.000839767,0.348092,7.6222e-07,0.348093
-0.0296545,0.05,0,0.000906031,0.357981,7.6815e-07,0.357983
-0.029591,0.05,0,0.000972295,0.367871,7.74081e-07,0.367872
-0.0295275,0.05,0,0.00103856,0.37776,7.80011e-07,0.377762
-0.029464,0.05,0,0.00110482,0.387649,7.85942e-07,0.387651
-0.0294005,0.05,0,0.00117109,0.397539,7.91872e-07,0.39754
-0.029337,0.05,0,0.00123735,0.407428,7.97803e-07,0.40743
-0.0292735,0.05,0,0.00130362,0.417317,8.03733e-07,0.417319
-0.02921,0.05,0,0.00136988,0.427206,8.09664e-07,0.427209
-0.0291465,0.05,0,0.00143615,0.437096,8.15594e-07,0.437098
-0.029083,0.05,0,0.00150241,0.446985,8.21525e-07,0.446988
